City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Honiara,SB,87.8,few clouds,-9.43,159.95,Heritage Park Hotel
3,Misratah,LY,82.89,clear sky,32.38,15.09,فندق الماسة
13,Cockburn Town,TC,84.2,scattered clouds,21.46,-71.14,Osprey Beach Hotel
26,Kavaratti,IN,81.28,light rain,10.57,72.64,Bismillah Hotel And Lodging
28,Dicabisagan,PH,81.34,overcast clouds,17.08,122.42,
33,Nishihara,JP,87.8,scattered clouds,26.18,127.76,Minshuku Agaihama
51,Butaritari,KI,81.95,clear sky,3.07,172.79,Isles Sunset Lodge
54,Kapaa,US,86.0,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
61,Quesnel,CA,89.6,clear sky,53.0,-122.5,Ramada Limited Quesnel
62,Wilmington,US,82.4,clear sky,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
63,Savannah Bight,HN,84.51,broken clouds,16.45,-85.85,Villa on Dunbar Rock
64,Norsup,VU,84.2,broken clouds,-16.07,167.38,Nabelchel Bungalows
65,Buraydah,SA,84.2,scattered clouds,26.33,43.98,Mövenpick Hotel Qassim
74,Katsuura,JP,88.0,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
79,Hithadhoo,MV,83.46,scattered clouds,-0.6,73.08,Scoop Guest House
96,Manokwari,ID,83.53,light rain,-0.87,134.08,Swiss Belhotel Manokwari
100,Funehiki,JP,82.0,few clouds,37.43,140.58,花の湯
116,Hanna,CA,84.0,scattered clouds,51.63,-111.9,"West View Motel, Hanna, AB"
119,Waounde,SN,87.8,few clouds,15.26,-12.87,
120,Champerico,GT,84.2,thunderstorm,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
123,Victoria,HK,82.0,overcast clouds,22.29,114.16,Mini Hotel Central
124,Kulhudhuffushi,MV,82.44,overcast clouds,6.62,73.07,Haajy Guest House 1
135,Hasaki,JP,88.0,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
141,Guerrero Negro,MX,81.54,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
160,Evans,US,81.0,very heavy rain,33.53,-82.13,Select Corporate Housing - Augusta GA Furnished Apartments
163,Auki,SB,86.4,broken clouds,-8.77,160.7,Auki Motel
181,Nagato,JP,84.2,few clouds,34.38,131.2,いそう庵
184,Hilo,US,84.2,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
185,Jasper,US,87.8,few clouds,37.2,-94.35,Guest House Motel
192,The Valley,AI,84.2,shower rain,18.22,-63.06,CeBlue Villas & Beach Resort
199,Filingue,NE,87.8,overcast clouds,14.35,3.32,
201,Santa Rosa,PH,84.0,overcast clouds,14.31,121.11,Amethyst Econotel
202,Namatanai,PG,83.62,clear sky,-3.67,152.43,Namatanai Hotel
204,Ixtapa,MX,86.0,light rain,20.7,-105.2,Container Inn Puerto Vallarta
220,Manoel Urbano,BR,83.86,broken clouds,-8.84,-69.26,Baixada Beira Rio
227,Sulangan,PH,83.23,light rain,11.14,123.72,Maia's Beach Resort
230,Lorengau,PG,83.01,light rain,-2.02,147.27,Lorengau Harbourside Hotel
231,San Andres,CO,84.2,broken clouds,12.58,-81.7,Hotel Arena Blanca
232,Akyab,MM,80.83,moderate rain,20.15,92.9,Hotel Memory
242,Waddan,LY,81.66,clear sky,29.16,16.14,محل الشريف محمد العايب
249,Saint-Louis,SN,87.8,scattered clouds,16.33,-15.0,
250,Jati,PK,83.89,overcast clouds,24.35,68.27,
251,Sagua La Grande,CU,86.0,broken clouds,22.81,-80.08,Hotel Amaro
255,Sabancuy,MX,84.15,scattered clouds,18.97,-91.18,Hotel Aguilar
275,Muscat,OM,86.0,few clouds,23.61,58.59,Mutrah Hotel
279,Marsh Harbour,BS,84.74,overcast clouds,26.54,-77.06,Abaco Beach Resort
285,Gushikawa,JP,84.2,clear sky,26.35,127.87,Kirari Guest House
286,Acapulco,MX,82.4,overcast clouds,16.86,-99.89,HS Hotsson Smart Acapulco
289,Hamilton,US,82.4,scattered clouds,39.18,-84.53,Six Acres Bed & Breakfast
292,Shenjiamen,CN,82.13,clear sky,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
296,Naze,JP,87.8,few clouds,28.37,129.48,奄美ポートタワーホテル
310,Catuday,PH,81.07,light rain,16.29,119.81,GResort
317,San Rafael Del Sur,NI,82.4,moderate rain,11.85,-86.44,Hospedaje El Chino
324,Esperantinopolis,BR,80.65,scattered clouds,-4.87,-44.71,
326,Pacifica,US,84.0,overcast clouds,37.61,-122.49,"Pacifica Lighthouse, Trademark Collection by Wyndham"
329,Edson,CA,82.4,clear sky,53.58,-116.44,Holiday Inn Express & Suites Edson
330,Anan,JP,86.0,few clouds,33.92,134.65,Royal Garden Hotel
335,Aden,YE,85.3,broken clouds,12.78,45.04,Sama Emirate Hotel
338,Bhasawar,IN,84.96,moderate rain,27.03,77.03,Sidhh baba mandir
342,Sambrial,PK,82.4,smoke,32.47,74.35,Sheraton Point Marriage Hall
348,Bud,US,81.0,scattered clouds,39.45,-86.18,Madsion Scouts Camp
353,Halacho,MX,82.4,broken clouds,20.48,-90.08,Posada Marina
357,Reyes,BO,81.03,scattered clouds,-14.32,-67.38,
362,Las Cruces,US,84.2,scattered clouds,32.31,-106.78,SpringHill Suites by Marriott Las Cruces
364,Provost,CA,85.5,broken clouds,52.35,-110.27,Provost Motor Inn
367,San Cristobal,VE,84.2,scattered clouds,7.77,-72.22,Pirineos
369,Najran,SA,84.2,overcast clouds,17.49,44.13,محمد هادي ال فطيح
372,Trincomalee,LK,80.44,overcast clouds,8.57,81.23,Welcombe Hotel
379,Wanning,CN,81.66,broken clouds,18.8,110.4,Paradise Hotel
380,Tiarei,PF,82.4,few clouds,-17.53,-149.33,Le Rocher de Tahiti
383,Cabanas,CU,86.0,scattered clouds,22.98,-82.92,Villa Luis Montesino y Anabel
384,San Patricio,MX,82.4,overcast clouds,19.22,-104.7,Hotel Cabo Blanco
390,Kavieng,PG,83.32,clear sky,-2.57,150.8,Nusa Island Retreat
391,Moussoro,TD,84.76,broken clouds,13.64,16.49,Pharmacie alnadja Moussoro
393,Kudahuvadhoo,MV,82.92,broken clouds,2.67,72.89,Kudahuvadhoo Retreat
398,Coos Bay,US,81.0,clear sky,43.37,-124.22,Best Western Holiday Hotel
400,Starkville,US,90.0,clear sky,33.45,-88.82,Hilton Garden Inn Starkville
402,Kahului,US,87.8,scattered clouds,20.89,-156.47,Maui Seaside Hotel
407,Ailigandi,PA,81.07,few clouds,9.23,-78.02,akwa reef lodge
410,Rosarito,MX,86.0,scattered clouds,32.33,-117.03,Hotel Festival Plaza Rosarito
413,Sola,VU,80.35,few clouds,-13.88,167.55,Leumerus Bungalows
421,Port Blair,IN,81.01,light rain,11.67,92.75,Fortune Resort Bay Island
423,Praya,CV,80.6,few clouds,14.92,-23.51,LT Aparthotel
424,Isangel,VU,82.4,overcast clouds,-19.55,169.27,Volcano Sea View Tree House
427,San Fernando,PH,84.0,broken clouds,15.03,120.69,Maharlika Hostel
428,Sooke,CA,81.0,few clouds,48.37,-123.73,Sooke Harbour House Hotel & Resort
434,Sur,OM,88.38,broken clouds,22.57,59.53,Sur Plaza Hotel
435,Progreso,MX,82.4,broken clouds,21.28,-89.67,Playa Linda Hotel
438,Tatawin,TN,89.6,clear sky,32.93,10.45,Sangho Privilege Tataouine
439,Jalu,LY,81.84,clear sky,29.03,21.55,Jalu Hotel
440,Gorontalo,ID,81.41,few clouds,0.54,123.06,Maqna Hotel by Prasanthi
457,Xuanzhou,CN,84.79,clear sky,30.95,118.76,Nanfang Hotel
463,Destin,US,89.6,clear sky,30.39,-86.5,Inn On Destin Harbor
466,Bac Lieu,VN,80.94,moderate rain,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
471,Wewak,PG,82.13,clear sky,-3.55,143.63,In Wewak Boutique Hotel
475,Cagliliog,PH,81.86,light rain,13.9,123.29,
477,Culebra,PR,84.2,broken clouds,18.3,-65.3,Palmetto Guesthouse
490,Mahibadhoo,MV,82.81,overcast clouds,3.78,72.97,Omadhoo Inn
492,Balabac,PH,81.3,light rain,7.99,117.06,Sing and Swing Lodge
493,Ligayan,PH,82.69,light rain,4.65,119.47,
494,Mandali,IQ,83.91,clear sky,33.75,45.55,بيت خالد امين
502,Pandan,PH,82.78,overcast clouds,14.05,124.17,Bonifacio Lodge
506,Nara,JP,89.6,scattered clouds,34.69,135.8,Guesthouse Nara Komachi
507,Puri,IN,82.4,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
526,Lompoc,US,82.99,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
534,Borbon,PH,80.6,broken clouds,10.84,124.03,CATUBIG RESIDENCES
536,Sabang,ID,82.29,clear sky,5.89,95.32,Hotel Citra
538,Helong,CN,82.89,broken clouds,42.54,129.0,Helong Hotel
545,Black Forest,US,84.2,clear sky,39.01,-104.7,Ponderosa Lodge
548,Altamira,BR,82.53,broken clouds,-3.2,-52.21,Requinte Hotel
550,Latung,PH,81.27,overcast clouds,5.5,120.88,
551,Saint-Georges,GD,80.6,scattered clouds,12.06,-61.75,Siesta Hotel
559,Port Antonio,JM,86.0,broken clouds,18.18,-76.46,Trident Hotel
560,Bairiki,KI,86.0,few clouds,1.33,172.98,Tarawa Boutique Hotel
563,Prince Albert,CA,89.6,broken clouds,53.2,-105.77,Holiday Inn Express & Suites Prince Albert
564,Todos Santos,MX,84.0,light rain,23.45,-110.22,Hotel California Todos Santos
568,Nokha,IN,84.29,few clouds,27.6,73.42,Fauji hotel and Restaurant9636024676
569,Rodrigues Alves,BR,82.76,broken clouds,-7.74,-72.65,Pousada Aconchego
570,Praia,CV,80.6,few clouds,14.92,-23.51,LT Aparthotel
580,Tucurui,BR,83.3,scattered clouds,-3.77,-49.67,BBB Rooms Centro Tucurui PA
590,Ramhormoz,IR,80.02,clear sky,31.28,49.6,فروشگاه مطورعلیان
598,Ilan,TW,84.0,broken clouds,24.76,121.75,Dar Chen Hotel
604,Marysville,US,89.01,clear sky,48.05,-122.18,Holiday Inn Express & Suites Marysville
606,Half Moon Bay,US,86.0,clear sky,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
607,Kieta,PG,82.98,light rain,-6.22,155.63,
609,Itoman,JP,87.8,few clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
612,Shimonoseki,JP,88.0,few clouds,33.95,130.95,Toyoko INN Shimonoseki Kaikyo Yume Tower mae
617,Ransang,PH,80.31,overcast clouds,8.96,117.58,
622,Ormara,PK,82.99,overcast clouds,25.21,64.64,
623,Thinadhoo,MV,84.29,overcast clouds,0.53,72.93,
628,Mahuva,IN,80.42,light rain,21.09,71.76,Hotel Blue Diamond.
629,Barras,BR,84.83,broken clouds,-4.24,-42.29,DIMAS HOTEL
634,Ternate,ID,81.57,light rain,0.8,127.4,Grand Dafam Bela Ternate
640,Lubao,PH,84.0,broken clouds,14.92,120.55,Hacienda Gracia
641,Cam Ranh,VN,82.4,scattered clouds,11.92,109.16,OYO 598 Peony Hotel
644,Labelle,US,80.6,scattered clouds,26.76,-81.44,La Belle Motel
645,Urucara,BR,86.34,scattered clouds,-2.54,-57.76,Pousada Maria Bonita
655,Worthington,US,81.0,scattered clouds,40.09,-83.02,Sheraton Suites Columbus
677,Salvador,SV,84.2,scattered clouds,13.83,-88.92,Chico's Ranch
679,Oriximina,BR,85.68,scattered clouds,-1.77,-55.87,Pousada Tia Amélia
682,Santo Domingo,DO,86.0,scattered clouds,18.5,-69.99,Micro Hotel Condo Suites
690,Gigmoto,PH,83.23,overcast clouds,13.78,124.39,Cj's Travellers Inn
698,Bucerias,MX,86.0,overcast clouds,20.75,-105.33,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
702,New Iberia,US,89.6,clear sky,30.0,-91.82,La Quinta Inn & Suites by Wyndham New Iberia
716,Cameta,BR,83.21,broken clouds,-2.24,-49.5,Hotel San Juan
