City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rio De Janeiro,BR,75.2,moderate rain,-22.9,-43.21,Windsor Guanabara Hotel
1,Santa Isabel Do Rio Negro,BR,78.06,light rain,-0.41,-65.02,Hotel GSA
2,Honiara,SB,87.8,few clouds,-9.43,159.95,Heritage Park Hotel
3,Misratah,LY,82.89,clear sky,32.38,15.09,فندق الماسة
8,Atuona,PF,78.66,light rain,-9.8,-139.03,Villa Enata
13,Cockburn Town,TC,84.2,scattered clouds,21.46,-71.14,Osprey Beach Hotel
15,Tomatlan,MX,77.88,moderate rain,19.93,-105.25,Norma franco
26,Kavaratti,IN,81.28,light rain,10.57,72.64,Bismillah Hotel And Lodging
28,Dicabisagan,PH,81.34,overcast clouds,17.08,122.42,
31,Sakakah,SA,78.8,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
33,Nishihara,JP,87.8,scattered clouds,26.18,127.76,Minshuku Agaihama
38,Itarema,BR,78.12,few clouds,-2.92,-39.92,Windvillage
39,Mabaruma,GY,75.78,light rain,8.2,-59.78,
48,Panguna,PG,76.03,moderate rain,-6.32,155.48,
51,Butaritari,KI,81.95,clear sky,3.07,172.79,Isles Sunset Lodge
54,Kapaa,US,86.0,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
58,Sorong,ID,78.15,overcast clouds,-0.88,131.25,The Waigo Hotel
61,Quesnel,CA,89.6,clear sky,53.0,-122.5,Ramada Limited Quesnel
62,Wilmington,US,82.4,clear sky,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
63,Savannah Bight,HN,84.51,broken clouds,16.45,-85.85,Villa on Dunbar Rock
64,Norsup,VU,84.2,broken clouds,-16.07,167.38,Nabelchel Bungalows
65,Buraydah,SA,84.2,scattered clouds,26.33,43.98,Mövenpick Hotel Qassim
72,Port Hardy,CA,77.0,few clouds,50.7,-127.42,Airport Inn
74,Katsuura,JP,88.0,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
77,Padang,ID,77.67,broken clouds,-0.95,100.35,Mercure Padang
79,Hithadhoo,MV,83.46,scattered clouds,-0.6,73.08,Scoop Guest House
80,Urumqi,CN,75.2,clear sky,43.8,87.6,Hua Ling Grand Hotel Urumqi
81,Maningrida,AU,76.53,clear sky,-12.07,134.27,Dhukurrdji Lodge
86,Acajutla,SV,77.0,scattered clouds,13.59,-89.83,Stop.
