City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rio De Janeiro,BR,-22.9,-43.21,75.2,78,100,13.87,moderate rain
1,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,78.06,83,83,1.43,light rain
2,Honiara,SB,-9.43,159.95,87.8,70,20,6.93,few clouds
3,Misratah,LY,32.38,15.09,82.89,57,0,8.5,clear sky
4,Torbay,CA,47.67,-52.73,66.0,68,90,13.87,overcast clouds
5,Punta Arenas,CL,-53.15,-70.92,37.4,64,75,13.87,broken clouds
6,Dikson,RU,73.51,80.55,49.78,93,84,11.61,broken clouds
7,Bredasdorp,ZA,-34.53,20.04,44.6,81,54,12.75,light rain
8,Atuona,PF,-9.8,-139.03,78.66,76,8,16.98,light rain
9,Karratha,AU,-20.74,116.85,64.31,28,0,11.9,clear sky
10,Mataura,NZ,-46.19,168.86,48.27,57,94,3.24,overcast clouds
11,Nikolskoye,RU,59.7,30.79,54.0,87,1,1.81,fog
12,Busselton,AU,-33.65,115.33,52.0,83,89,13.44,overcast clouds
13,Cockburn Town,TC,21.46,-71.14,84.2,79,40,5.82,scattered clouds
14,Port Alfred,ZA,-33.59,26.89,53.04,70,64,33.13,light rain
15,Tomatlan,MX,19.93,-105.25,77.88,92,58,2.13,moderate rain
16,Albany,US,42.6,-73.97,72.0,74,12,4.5,light rain
17,Olafsvik,IS,64.89,-23.71,55.67,80,56,6.4,broken clouds
18,Kaitangata,NZ,-46.28,169.85,44.01,70,97,5.01,overcast clouds
19,Clyde River,CA,70.47,-68.59,55.4,76,1,17.22,clear sky
20,Rio Gallegos,AR,-51.62,-69.22,35.6,89,90,23.04,light rain
21,Bluff,NZ,-46.6,168.33,44.31,64,98,3.53,overcast clouds
22,Alice Springs,AU,-23.7,133.88,66.2,39,0,3.36,clear sky
23,Rikitea,PF,-23.12,-134.97,71.94,74,17,7.4,few clouds
24,Flinders,AU,-34.58,150.86,63.0,59,51,8.99,broken clouds
25,Pisco,PE,-13.7,-76.22,62.6,82,1,12.75,clear sky
26,Kavaratti,IN,10.57,72.64,81.28,81,94,11.61,light rain
27,Kamina,CD,-8.74,24.99,67.15,26,0,0.76,clear sky
28,Dicabisagan,PH,17.08,122.42,81.34,79,97,1.66,overcast clouds
29,Esperance,AU,-33.87,121.9,48.2,100,75,25.28,broken clouds
30,Abha,SA,18.22,42.51,68.0,59,97,5.73,overcast clouds
31,Sakakah,SA,29.97,40.21,78.8,21,0,5.82,clear sky
32,Souillac,MU,-20.52,57.52,69.8,77,20,9.17,few clouds
33,Nishihara,JP,26.18,127.76,87.8,83,40,10.29,scattered clouds
34,Cape Town,ZA,-33.93,18.42,50.0,70,40,5.82,moderate rain
35,Avarua,CK,-21.21,-159.78,73.4,69,35,8.05,scattered clouds
36,Qaanaaq,GL,77.48,-69.36,43.02,61,100,7.23,overcast clouds
37,Gaeta,IT,41.22,13.56,73.99,91,69,4.38,broken clouds
38,Itarema,BR,-2.92,-39.92,78.12,77,24,16.33,few clouds
39,Mabaruma,GY,8.2,-59.78,75.78,97,88,4.29,light rain
