City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Taoudenni,ML,2020-08-16 23:06:45,22.68,-3.98,105.39,7,0,12.59
1,Tongren,CN,2020-08-16 23:06:45,27.72,109.19,73.51,86,18,1.12
2,Hermanus,ZA,2020-08-16 23:06:46,-34.42,19.23,44.01,91,100,1.01
3,Nuuk,GL,2020-08-16 23:06:46,64.18,-51.72,53.6,46,0,6.93
4,Norman Wells,CA,2020-08-16 23:03:56,65.28,-126.83,57.2,67,75,4.7
5,Atuona,PF,2020-08-16 23:06:47,-9.8,-139.03,78.28,75,5,16.11
6,Chokurdakh,RU,2020-08-16 23:06:47,70.63,147.92,40.71,93,100,10.51
7,Sao Filipe,CV,2020-08-16 23:06:47,14.9,-24.5,80.01,80,88,9.78
8,Port Lincoln,AU,2020-08-16 23:06:47,-34.73,135.87,57.72,56,84,17.4
9,Albany,US,2020-08-16 23:06:45,42.6,-73.97,75.0,60,27,6.87
10,San Policarpo,PH,2020-08-16 23:06:48,12.18,125.51,80.37,82,97,3.67
11,Neftcala,AZ,2020-08-16 23:06:48,39.37,49.25,72.63,58,11,7.07
12,Isangel,VU,2020-08-16 23:06:48,-19.55,169.27,75.2,83,90,12.19
13,Thompson,CA,2020-08-16 23:06:49,55.74,-97.86,60.8,59,75,11.41
14,Butaritari,KI,2020-08-16 23:05:51,3.07,172.79,81.1,63,99,1.12
15,Santa Rosa,PH,2020-08-16 23:06:49,14.31,121.11,79.0,94,69,6.93
16,Coquimbo,CL,2020-08-16 23:05:23,-29.95,-71.34,51.8,81,20,9.17
17,Yellowknife,CA,2020-08-16 23:04:45,62.46,-114.35,62.01,58,75,10.29
18,Namibe,AO,2020-08-16 23:06:50,-15.2,12.15,62.6,87,73,4.88
19,Inhambane,MZ,2020-08-16 23:06:50,-23.86,35.38,70.43,77,33,17.36
20,Fortuna,US,2020-08-16 23:04:41,40.6,-124.16,73.99,68,38,1.99
21,Mpanda,TZ,2020-08-16 23:06:50,-6.37,31.04,66.25,49,83,1.3
22,Busselton,AU,2020-08-16 23:06:50,-33.65,115.33,46.99,85,96,17.25
23,Jamestown,US,2020-08-16 23:05:45,42.1,-79.24,71.6,73,90,3.36
24,Maceio,BR,2020-08-16 23:03:34,-9.67,-35.74,71.6,94,75,2.24
25,Kapaa,US,2020-08-16 23:06:51,22.08,-159.32,82.4,74,90,11.41
26,Longyearbyen,SJ,2020-08-16 23:06:51,78.22,15.64,44.6,70,75,4.7
27,Naryan-Mar,RU,2020-08-16 23:06:52,67.67,53.09,50.27,93,100,7.67
28,Bonavista,CA,2020-08-16 23:06:52,48.65,-53.11,57.0,83,0,1.99
29,Sur,OM,2020-08-16 23:06:52,22.57,59.53,89.38,56,97,6.44
30,Somova,RO,2020-08-16 23:06:52,45.18,28.67,63.0,67,3,3.38
31,Rikitea,PF,2020-08-16 23:06:53,-23.12,-134.97,70.36,79,1,12.33
32,Tasiilaq,GL,2020-08-16 23:03:04,65.61,-37.64,48.2,76,100,25.28
33,Mar Del Plata,AR,2020-08-16 23:06:53,-38.0,-57.56,51.8,50,90,13.87
34,Hithadhoo,MV,2020-08-16 23:06:54,-0.6,73.08,83.62,69,87,4.12
35,Mataura,NZ,2020-08-16 23:06:54,-46.19,168.86,41.0,98,80,3.0
36,Ulaangom,MN,2020-08-16 23:06:54,49.98,92.07,58.03,71,96,0.89
37,Marsa Matruh,EG,2020-08-16 23:04:19,31.35,27.25,77.0,88,20,6.93
38,Upata,VE,2020-08-16 23:06:55,8.01,-62.4,81.0,83,97,4.0
39,Cam Ranh,VN,2020-08-16 23:06:55,11.92,109.16,80.6,88,20,2.24
40,Arrecife,ES,2020-08-16 23:06:55,28.96,-13.55,73.4,78,20,24.16
41,Kodiak,US,2020-08-16 23:06:55,57.79,-152.41,75.2,36,1,11.41
42,Pitimbu,BR,2020-08-16 23:06:56,-7.47,-34.81,75.2,88,24,5.82
43,Mikuni,JP,2020-08-16 23:06:56,36.22,136.15,78.8,83,75,5.82
44,Hilo,US,2020-08-16 23:06:56,19.73,-155.09,84.2,62,20,12.75
45,Qaanaaq,GL,2020-08-16 23:06:57,77.48,-69.36,39.06,70,3,2.26
46,Puerto Ayora,EC,2020-08-16 23:05:52,-0.74,-90.35,70.0,80,36,1.99
47,Kaeo,NZ,2020-08-16 23:06:57,-35.1,173.78,57.99,3,100,7.0
48,Victoria,HK,2020-08-16 23:06:58,22.29,114.16,82.0,78,12,8.01
49,Gushikawa,JP,2020-08-16 23:06:58,26.35,127.87,86.0,88,20,10.6
50,Punta Arenas,CL,2020-08-16 23:06:58,-53.15,-70.92,35.6,80,75,18.34
51,Bambous Virieux,MU,2020-08-16 23:06:58,-20.34,57.76,71.6,73,40,14.99
52,Ribeira Grande,PT,2020-08-16 23:06:59,38.52,-28.7,74.25,88,75,22.21
53,Port Hardy,CA,2020-08-16 23:06:59,50.7,-127.42,68.0,77,75,4.7
54,East London,ZA,2020-08-16 23:06:59,-33.02,27.91,53.42,59,29,12.03
55,Georgetown,MY,2020-08-16 23:06:59,5.41,100.34,78.8,94,20,3.76
56,Doha,QA,2020-08-16 23:03:16,25.29,51.53,95.0,36,22,3.36
57,Dymer,UA,2020-08-16 23:07:00,50.79,30.3,64.99,55,0,4.47
58,Xinxiang,CN,2020-08-16 23:07:00,35.31,113.87,79.0,74,76,6.49
59,Cidreira,BR,2020-08-16 23:07:00,-30.18,-50.21,55.17,66,46,7.45
60,Clyde River,CA,2020-08-16 23:05:58,70.47,-68.59,41.0,86,90,20.8
61,Hamilton,US,2020-08-16 23:07:01,39.18,-84.53,82.99,48,20,11.41
62,Tiksi,RU,2020-08-16 23:07:01,71.69,128.87,45.5,70,1,3.0
